event_timestamp,event_name,user_pseudo_id,ga_session_id,session_engaged,device_category,operating_system,browser,country,traffic_source_source,traffic_source_medium,traffic_source_campaign,event_params
1717274817000000,session_start,u000000.3155774867,1717200001,0,mobile,iOS,Safari,Germany,google,organic,(not set),"{""page_location"": ""https://shop.example.com/product/monitor-arm"", ""page_title"": ""product monitor-arm"", ""ga_session_id"": 1717200001, ""session_engaged"": 0}"
1717274904000000,page_view,u000000.3155774867,1717200001,0,mobile,iOS,Safari,Germany,google,organic,(not set),"{""page_location"": ""https://shop.example.com/cart"", ""page_title"": ""cart"", ""ga_session_id"": 1717200001, ""session_engaged"": 0}"
1717206760000000,session_start,u000001.3274417447,1717200002,1,mobile,iOS,Safari,Canada,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/blog/wfh-setup"", ""page_title"": ""blog wfh-setup"", ""ga_session_id"": 1717200002, ""session_engaged"": 1}"
1717206804000000,page_view,u000001.3274417447,1717200002,1,mobile,iOS,Safari,Canada,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/blog/wfh-setup"", ""page_title"": ""blog wfh-setup"", ""ga_session_id"": 1717200002, ""session_engaged"": 1}"
1717206850000000,add_to_cart,u000001.3274417447,1717200002,1,mobile,iOS,Safari,Canada,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/blog/wfh-setup"", ""page_title"": ""blog wfh-setup"", ""ga_session_id"": 1717200002, ""session_engaged"": 1}"
1717254642000000,session_start,u000002.1914851392,1717200003,1,desktop,Windows,Edge,Canada,google,organic,(not set),"{""page_location"": ""https://shop.example.com/product/standing-desk"", ""page_title"": ""product standing-desk"", ""ga_session_id"": 1717200003, ""session_engaged"": 1}"
1717254707000000,page_view,u000002.1914851392,1717200003,1,desktop,Windows,Edge,Canada,google,organic,(not set),"{""page_location"": ""https://shop.example.com/product/standing-desk"", ""page_title"": ""product standing-desk"", ""ga_session_id"": 1717200003, ""session_engaged"": 1}"
1717254722000000,scroll,u000002.1914851392,1717200003,1,desktop,Windows,Edge,Canada,google,organic,(not set),"{""page_location"": ""https://shop.example.com/about"", ""page_title"": ""about"", ""ga_session_id"": 1717200003, ""session_engaged"": 1}"
1717254797000000,add_to_cart,u000002.1914851392,1717200003,1,desktop,Windows,Edge,Canada,google,organic,(not set),"{""page_location"": ""https://shop.example.com/about"", ""page_title"": ""about"", ""ga_session_id"": 1717200003, ""session_engaged"": 1}"
1717259756000000,session_start,u000003.4568810557,1717200004,1,desktop,macOS,Chrome,United Kingdom,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/product/standing-desk"", ""page_title"": ""product standing-desk"", ""ga_session_id"": 1717200004, ""session_engaged"": 1}"
1717259823000000,page_view,u000003.4568810557,1717200004,1,desktop,macOS,Chrome,United Kingdom,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/blog/wfh-setup"", ""page_title"": ""blog wfh-setup"", ""ga_session_id"": 1717200004, ""session_engaged"": 1}"
1717259891000000,scroll,u000003.4568810557,1717200004,1,desktop,macOS,Chrome,United Kingdom,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/checkout"", ""page_title"": ""checkout"", ""ga_session_id"": 1717200004, ""session_engaged"": 1}"
1717259972000000,purchase,u000003.4568810557,1717200004,1,desktop,macOS,Chrome,United Kingdom,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/checkout"", ""page_title"": ""checkout"", ""ga_session_id"": 1717200004, ""session_engaged"": 1, ""value"": 147.59, ""currency"": ""USD""}"
1717260001000000,page_view,u000003.4568810557,1717200004,1,desktop,macOS,Chrome,United Kingdom,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/blog/wfh-setup"", ""page_title"": ""blog wfh-setup"", ""ga_session_id"": 1717200004, ""session_engaged"": 1}"
1717260049000000,page_view,u000003.4568810557,1717200004,1,desktop,macOS,Chrome,United Kingdom,bing,organic,(not set),"{""page_location"": ""https://shop.example.com/catalog"", ""page_title"": ""catalog"", ""ga_session_id"": 1717200004, ""session_engaged"": 1}"
1717259978000000,session_start,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/cart"", ""page_title"": ""cart"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260064000000,page_view,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/catalog"", ""page_title"": ""catalog"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260080000000,page_view,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/checkout"", ""page_title"": ""checkout"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260108000000,add_to_cart,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/"", ""page_title"": ""home"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260182000000,scroll,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/cart"", ""page_title"": ""cart"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260190000000,add_to_cart,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/product/monitor-arm"", ""page_title"": ""product monitor-arm"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260269000000,page_view,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/cart"", ""page_title"": ""cart"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260318000000,begin_checkout,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/product/monitor-arm"", ""page_title"": ""product monitor-arm"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717260379000000,scroll,u000004.6593717510,1717200005,1,desktop,macOS,Chrome,United States,newsletter,email,weekly_digest,"{""page_location"": ""https://shop.example.com/checkout"", ""page_title"": ""checkout"", ""ga_session_id"": 1717200005, ""session_engaged"": 1}"
1717271529000000,session_start,u000004.6593717510,1717200006,0,desktop,macOS,Chrome,United States,google,organic,(not set),"{""page_location"": ""https://shop.example.com/cart"", ""page_title"": ""cart"", ""ga_session_id"": 1717200006, ""session_engaged"": 0}"
